iter	Passed	Remaining
0	69	69563
1	85	42890
2	102	33900
3	117	29305
4	134	26804
5	150	24888
6	166	23557
7	182	22587
8	198	21839
9	213	21143
10	228	20587
11	244	20133
12	260	19763
13	277	19510
14	293	19288
15	310	19082
16	326	18907
17	342	18684
18	369	19072
19	393	19291
20	415	19356
21	438	19499
22	456	19374
23	472	19216
24	496	19374
25	518	19420
26	539	19459
27	568	19719
28	591	19819
29	607	19657
30	624	19535
31	642	19421
32	658	19285
33	674	19172
34	690	19039
35	707	18936
36	723	18832
37	739	18709
38	755	18626
39	773	18564
40	792	18529
41	811	18512
42	834	18578
43	856	18619
44	879	18674
45	905	18788
46	943	19138
47	981	19470
48	1005	19520
49	1027	19515
50	1045	19453
51	1063	19388
52	1077	19261
53	1095	19191
54	1112	19122
55	1130	19049
56	1147	18979
57	1163	18895
58	1179	18804
59	1197	18760
60	1214	18700
61	1233	18662
62	1265	18823
63	1291	18885
64	1305	18779
65	1321	18706
66	1338	18633
67	1352	18542
68	1368	18459
69	1383	18379
70	1399	18317
71	1414	18237
72	1431	18182
73	1459	18258
74	1476	18208
75	1492	18140
76	1510	18101
77	1524	18020
78	1542	17979
79	1560	17944
80	1579	17925
81	1597	17881
82	1614	17836
83	1629	17773
84	1647	17737
85	1664	17685
86	1681	17642
87	1696	17578
88	1714	17545
89	1731	17504
90	1746	17445
91	1763	17403
92	1780	17361
93	1797	17320
94	1816	17305
95	1831	17242
96	1845	17180
97	1859	17116
98	1876	17082
99	1892	17035
100	1911	17014
101	1928	16982
102	1945	16938
103	1971	16985
104	1998	17034
105	2025	17085
106	2056	17164
107	2074	17132
108	2094	17117
109	2119	17145
110	2140	17144
111	2159	17122
112	2175	17077
113	2200	17103
114	2222	17106
115	2240	17077
116	2258	17048
117	2277	17019
118	2293	16982
119	2310	16942
120	2325	16890
121	2342	16861
122	2357	16811
123	2376	16786
124	2397	16783
125	2415	16755
126	2442	16788
127	2462	16773
128	2481	16755
129	2499	16726
130	2517	16697
131	2534	16666
132	2551	16632
133	2568	16602
134	2587	16579
135	2606	16558
136	2624	16532
137	2642	16502
138	2658	16468
139	2676	16438
140	2693	16406
141	2711	16380
142	2728	16349
143	2746	16323
144	2762	16290
145	2779	16256
146	2798	16240
147	2816	16212
148	2832	16180
149	2849	16148
150	2865	16113
151	2883	16087
152	2900	16056
153	2916	16023
154	2933	15991
155	2952	15972
156	2971	15953
157	2988	15923
158	3004	15892
159	3027	15892
160	3062	15959
161	3098	16027
162	3128	16066
163	3159	16107
164	3185	16122
165	3211	16132
166	3235	16137
167	3257	16131
168	3280	16129
169	3298	16103
170	3315	16073
171	3332	16043
172	3349	16012
173	3366	15980
174	3382	15948
175	3401	15927
176	3422	15911
177	3438	15881
178	3456	15851
179	3481	15860
180	3498	15832
181	3516	15806
182	3533	15774
183	3550	15746
184	3567	15716
185	3586	15696
186	3606	15677
187	3624	15654
188	3641	15625
189	3659	15600
190	3677	15574
191	3694	15547
192	3713	15525
193	3730	15498
194	3747	15469
195	3763	15439
196	3780	15408
197	3806	15417
198	3846	15482
199	3894	15577
200	3918	15578
201	3942	15574
202	3967	15578
203	3992	15577
204	4010	15553
205	4027	15523
206	4046	15503
207	4068	15493
208	4086	15466
209	4109	15459
210	4129	15440
211	4146	15411
212	4167	15396
213	4190	15389
214	4213	15385
215	4241	15394
216	4270	15408
